block,street,floor,area,year,lease,price,date
17, Marsiling Lane,10 to 12,"75.00
Improved",1984,"61 years
3 months ","$350,000.00",09/01/22
129, Marsiling Rise,10 to 12,"69.00
Improved",1985,"61 years
5 months ","$328,000.00",09/01/22
131, Marsiling Rise,04 to 06,"69.00
Improved",1985,"61 years
5 months ","$326,000.00",09/01/22
131, Marsiling Rise,07 to 09,"60.00
Improved",1985,"61 years
4 months ","$335,000.00",09/01/22
132, Marsiling Rise,04 to 06,"82.00
New Generation",1995,"71 years
8 months ","$350,000.00",09/01/22
780F, Woodlands Cres,13 to 15,"67.00
Model A",2015,"91 years
11 months ","$398,500.00",09/01/22
573A, Woodlands Dr 16,07 to 09,"68.00
Model A",2018,"94 years
10 months ","$435,000.00",09/01/22
574A, Woodlands Dr 16,10 to 12,"68.00
Model A",2018,"94 years
10 months ","$445,000.00",09/01/22
574B, Woodlands Dr 16,13 to 15,"68.00
Model A",2018,"94 years
10 months ","$470,000.00",09/01/22
784B, Woodlands Rise,01 to 03,"68.00
Model A",2018,"94 years
11 months ","$398,000.00",09/01/22
784B, Woodlands Rise,01 to 03,"68.00
Model A",2018,"94 years
11 months ","$410,000.00",09/01/22
784C, Woodlands Rise,07 to 09,"68.00
Model A",2018,"94 years
11 months ","$415,000.00",09/01/22
785B, Woodlands Rise,01 to 03,"68.00
Model A",2018,"94 years
11 months ","$405,000.00",09/01/22
160, Woodlands St 13,07 to 09,"73.00
Model A",1990,"66 years
9 months ","$380,000.00",09/01/22
313, Woodlands St 31,01 to 03,"73.00
Model A",1993,"70 years
1 month ","$340,000.00",09/01/22
1, Marsiling Dr,04 to 06,"65.00
Improved",1974,51 years,"$280,000.00",08/01/22
6, Marsiling Dr,10 to 12,"76.00
Improved",1976,"52 years
6 months ","$340,000.00",08/01/22
22, Marsiling Dr,01 to 03,"67.00
New Generation",1977,"53 years
11 months ","$285,000.00",08/01/22
23, Marsiling Dr,01 to 03,"67.00
New Generation",1977,"54 years
4 months ","$290,000.00",08/01/22
24, Marsiling Dr,07 to 09,"67.00
New Generation",1977,"53 years
11 months ","$298,000.00",08/01/22
30, Marsiling Dr,04 to 06,"87.00
New Generation",1977,"53 years
9 months ","$345,000.00",08/01/22
204, Marsiling Dr,01 to 03,"68.00
New Generation",1981,"57 years
9 months ","$310,000.00",08/01/22
204, Marsiling Dr,07 to 09,"68.00
New Generation",1981,"57 years
9 months ","$324,000.00",08/01/22
206, Marsiling Dr,07 to 09,"68.00
New Generation",1981,"57 years
9 months ","$318,888.00",08/01/22
180A, Marsiling Rd,22 to 24,"66.00
Model A",2015,92 years,"$415,000.00",08/01/22
125, Marsiling Rise,01 to 03,"69.00
Improved",1985,"61 years
5 months ","$328,000.00",08/01/22
573A, Woodlands Dr 16,07 to 09,"68.00
Model A",2018,"94 years
11 months ","$410,000.00",08/01/22
574A, Woodlands Dr 16,01 to 03,"68.00
Model A",2018,"94 years
11 months ","$410,000.00",08/01/22
574A, Woodlands Dr 16,10 to 12,"68.00
Model A",2018,"94 years
11 months ","$435,000.00",08/01/22
574B, Woodlands Dr 16,01 to 03,"68.00
Model A",2018,"94 years
11 months ","$415,000.00",08/01/22
574B, Woodlands Dr 16,10 to 12,"68.00
Model A",2018,"94 years
11 months ","$435,000.00",08/01/22
574B, Woodlands Dr 16,10 to 12,"68.00
Model A",2018,"94 years
11 months ","$450,000.00",08/01/22
886A, Woodlands Dr 50,07 to 09,"67.00
Premium Apartment",2015,"91 years
7 months ","$410,000.00",08/01/22
784B, Woodlands Rise,04 to 06,"68.00
Model A",2018,"94 years
11 months ","$412,000.00",08/01/22
784C, Woodlands Rise,07 to 09,"68.00
Model A",2018,95 years,"$425,000.00",08/01/22
111, Woodlands St 13,01 to 03,"68.00
New Generation",1995,"71 years
6 months ","$325,000.00",08/01/22
145, Woodlands St 13,07 to 09,"68.00
New Generation",1985,"61 years
8 months ","$348,000.00",08/01/22
155, Woodlands St 13,07 to 09,"73.00
Model A",1985,"61 years
8 months ","$380,000.00",08/01/22
166, Woodlands St 13,01 to 03,"82.00
New Generation",1986,"63 years
3 months ","$382,000.00",08/01/22
316, Woodlands St 31,07 to 09,"73.00
Model A",1993,"69 years
10 months ","$360,000.00",08/01/22
848, Woodlands St 82,01 to 03,"69.00
New Generation",1995,"71 years
8 months ","$335,000.00",08/01/22
1, Marsiling Dr,04 to 06,"65.00
Improved",1974,51 years,"$295,000.00",07/01/22
2, Marsiling Dr,10 to 12,"65.00
Improved",1974,"51 years
1 month ","$310,000.00",07/01/22
22, Marsiling Dr,07 to 09,"67.00
New Generation",1977,54 years,"$298,000.00",07/01/22
23, Marsiling Dr,07 to 09,"82.00
New Generation",1977,"54 years
4 months ","$350,000.00",07/01/22
13, Marsiling Lane,07 to 09,"76.00
Improved",1976,"52 years
9 months ","$333,000.00",07/01/22
15, Marsiling Lane,01 to 03,"65.00
Improved",1976,"52 years
7 months ","$300,000.00",07/01/22
17, Marsiling Lane,04 to 06,"65.00
Improved",1984,"61 years
5 months ","$305,000.00",07/01/22
180B, Marsiling Rd,01 to 03,"67.00
Model A",2015,"92 years
1 month ","$379,000.00",07/01/22
130, Marsiling Rise,04 to 06,"60.00
Improved",1985,"61 years
7 months ","$300,000.00",07/01/22
131, Marsiling Rise,04 to 06,"60.00
Improved",1985,"61 years
7 months ","$285,000.00",07/01/22
131, Marsiling Rise,04 to 06,"69.00
Improved",1985,"61 years
7 months ","$320,000.00",07/01/22
570A, Woodlands Ave 1,10 to 12,"67.00
Model A",2013,"90 years
5 months ","$428,000.00",07/01/22
570B, Woodlands Ave 1,01 to 03,"67.00
Model A",2013,"90 years
5 months ","$365,000.00",07/01/22
